"","CurrentAge","MaleLE","FemaleLE"
"1",20,58.1324437586254,61.9221872399348
"2",21,57.1745903724784,60.9509676826285
"3",22,56.2173213360393,59.9802507402201
"4",23,55.2607005128281,59.0100628424752
"5",24,54.3047857193826,58.0403694181652
"6",25,53.3496257015639,57.0711919636301
"7",26,52.3951027536604,56.1024357522336
"8",27,51.4411244992053,55.1340781309782
"9",28,50.4874514555083,54.1660904659353
"10",29,49.5338566685295,53.1983420800123
"11",30,48.5801235929869,52.2308117730366
"12",31,47.625950473288,51.2634252787494
"13",32,46.6710999026091,50.2960620748029
"14",33,45.71535092516,49.3287073342073
"15",34,44.7587700088462,48.3613064620751
"16",35,43.8013722543456,47.3938575023859
"17",36,42.8431700670171,46.4265103291674
"18",37,41.8842411477852,45.4594506010683
"19",38,40.9257402194644,44.4929017948957
"20",39,39.9684537430938,43.5271842698622
"21",40,39.0132723666591,42.5625913076347
"22",41,38.0610644548434,41.599350300712
"23",42,37.1127016109645,40.6377042408251
"24",43,36.1690596629732,39.6779175026816
"25",44,35.2309292391083,38.7201988671991
"26",45,34.2989486113711,37.7648138295771
"27",46,33.3735429685456,36.812029470185
"28",47,32.454876248129,35.8621286025996
"29",48,31.5430015987295,34.9154321607362
"30",49,30.6378441518402,33.9722098479845
"31",50,29.7392736604575,33.032727050142
"32",51,28.8487254694818,32.1002943169023
"33",52,27.9645989737463,31.1719335339326
"34",53,27.0868227945537,30.2477334631852
"35",54,26.2153362170682,29.3278375749176
"36",55,25.349979741108,28.4122974263885
"37",56,24.4938927632622,27.5024403342701
"38",57,23.6431285759892,26.5971094790689
"39",58,22.7972352169668,25.6964049182667
"40",59,21.9557617543173,24.8004100441102
"41",60,21.1186383564362,23.9094252808082
"42",61,20.2889595684927,23.0279902474774
"43",62,19.4645985962032,22.1524929769566
"44",63,18.6465771294151,21.2836326903785
"45",64,17.8361508861983,20.4221666694565
"46",65,17.0347040720952,19.5685816591831
"47",66,16.2515233622189,18.7332568000776
"48",67,15.4799384516925,17.9053202666315
"49",68,14.7214929072178,17.0844455149816
"50",69,13.9775808412887,16.2702435833152
"51",70,13.2491304643377,15.4629097924501
"52",71,12.5526864645155,14.6824348934032
"53",72,11.8714391087298,13.9100708345103
"54",73,11.2050690184271,13.1476172269025
"55",74,10.5530720475399,12.3970419137151
"56",75,9.91510788616322,11.6600146404307
"57",76,9.32032132969237,10.9707063480845
"58",77,8.73905259934013,10.2961215852162
"59",78,8.17168882121806,9.6367595814918
"60",79,7.61846343749055,8.9928636110769
"61",80,7.07913708846609,8.36470777173937
"62",81,6.60105671889384,7.79668380790238
"63",82,6.1366406173469,7.24450958210481
"64",83,5.68515660091333,6.70853957901762
"65",84,5.24552714503715,6.18903997905035
"66",85,4.81627645668085,5.68635438932693
"67",86,4.46274853466656,5.24462270682757
"68",87,4.1217790643395,4.8228076905472
"69",88,3.79220404790631,4.42229007866665
"70",89,3.47231251621967,4.04411046396559
"71",90,3.15962685991902,3.68800975223335
"72",91,2.9195136375081,3.38632350450661
"73",92,2.69381075217277,3.10932745934864
"74",93,2.48173141224437,2.85569586112773
"75",94,2.28221174538587,2.62344274821831
"76",95,2.0941382147173,2.41026049369306
"77",96,1.9160700854145,2.21328532866149
"78",97,1.74608046139111,2.02871613350322
"79",98,1.58191903849376,1.85209409723876
"80",99,1.42215773102182,1.68030042407983
"81",100,1.26628139206612,1.51164776429364
"82",101,1.114424700437,1.34547658590081
"83",102,0.967254269872862,1.18199822517492
"84",103,0.825851713211839,1.02206621152181
"85",104,0.69153248189046,0.866912376427469
"86",105,0.566165490959175,0.718178707609894
"87",106,0.452300004896654,0.577525447164312
"88",107,0.353763486411798,0.446368231039532
"89",108,0.265073748305899,0.325669148858807
"90",109,0.187526748311164,0.21718304530608
"91",110,0.122246121036695,0.142492404950465
"92",111,0.070172714053001,0.0823557084209626
"93",112,0.0320693900997098,0.037973612698703
"94",113,0.00853288573834499,0.010292381987402
"95",114,0,0
"96",115,0,0
